product_name,description,brand,rating,image_url,link
APIVITA Express Line Reducing Face Mask - Grape 2x8ml,Treat your complexion to ,APIVITA,4,https://static.thcdn.com/images/large/original/productimg/1600/1600/11902647-1664615737745887.jpg,https://www.lookfantastic.com/apivita-express-line-reducing-face-mask-grape-2x8ml/11902647.html
PIXI Collagen Plumping Mask 45ml,Enhance your complexion with the ,PIXI,4.78,https://static.thcdn.com/images/large/original/productimg/1600/1600/12040129-1384652883076206.jpg,https://www.lookfantastic.com/pixi-collagen-plumping-mask-45ml/12040129.html
Eve Lom Rescue Mask (100ml),"Restore a radiant, healthy-looking complexion with ",Eve Lom,4.61,https://static.thcdn.com/images/large/original//productimg/1600/1600/10365803-1174872047952162.jpg,https://www.lookfantastic.com/eve-lom-rescue-mask-100ml/10365803.html
Elemis Pro-Collagen Hydra-Gel Eye Mask (Pack of 6),"Elemis Pro-Collagen Hydra Gel Eye Masks have been clinically proven to instantly reduce the appearance of fine lines and wrinkles. The eye masks have been formulated with Potent plankton extract, combined with the power of Padina Pavonica and chlorella to provide an instant skin-tightening effect, whilst hyaluronic acid hydrates the fragile eye area. Eyes are left feeling intensely moisturised, creating an instant smoother look. -SA",Elemis,4.88,https://static.thcdn.com/images/large/original//productimg/1600/1600/10955088-1144815563510817.jpg,https://www.lookfantastic.com/elemis-pro-collagen-hydra-gel-eye-mask-pack-of-6/10955088.html
BeautyPro Nourishing Collagen Sheet Mask with Olive Extract,Pamper the complexion with the ,BeautyPro,4,https://static.thcdn.com/images/large/original//productimg/1600/1600/11432735-2004786559009571.jpg,https://www.lookfantastic.com/beautypro-nourishing-collagen-sheet-mask-with-olive-extract/11432735.html
GLAMGLOW Supermud Mask 50g,Combat common skin concerns with the ,GLAMGLOW,4.14,https://static.thcdn.com/images/large/original//productimg/1600/1600/11422899-1114867933334220.jpg,https://www.lookfantastic.com/glamglow-supermud-mask-50g/11422899.html
REN Clean Skincare Clarimatte Invisible Pores Detox Mask 50ml,"REN Clean Skincare Clarimatte Invisible Pores Detox Mask (50ml) works to draw out the skin's impurities, reducing the appearance of blackheads or open pores. The rich and expertly crafted formula of the Clarimatte Invisible Pores Detox Mask - put together by REN Clean Skincare's expert dermatologists - benefits from the inclusion of proteins sourced from tropical spirulina and essential fatty acids derived from red tea, which leave skin softer with less visible imperfections and help with restructuring, encouraging cell renewal. Minerals found in French clay work to draw out impurities from the skin, eliminating excess sebum and combating the build-up of dead skin cells, effectively eliminating these key contributors to skin breakouts. The skin is left purified, smooth and toned.",REN Clean Skincare,4.51,https://static.thcdn.com/images/large/original//productimg/1600/1600/10364158-1724871849004876.jpg,https://www.lookfantastic.com/ren-clean-skincare-pore-minimising-detox-mask-50ml/10364158.html
Oh K! Chok Chok Smoothing Undereye Mask 2 x 1.5g,Re-awaken tired under-eyes with the ,Oh K!,4.5,https://static.thcdn.com/images/large/original//productimg/1600/1600/12132626-8984808336610291.jpg,https://www.lookfantastic.com/oh-k-chok-chok-smoothing-undereye-mask-2-x-1.5g/12132626.html
Neutrogena Purifying Boost Hydrogel Recovery Mask 30ml,"Achieve a clear, healthy-looking complexion with the ",Neutrogena®,3.8,https://static.thcdn.com/images/large/original/productimg/1600/1600/11671604-1504654311045585.jpg,https://www.lookfantastic.com/neutrogena-purifying-boost-hydrogel-recovery-mask-30ml/11671604.html
MAGICSTRIPES Chin & Cheek Lifting Mask (1 Mask),Reveal youthful skin with the ,MAGICSTRIPES,5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11422054-2104492858195659.jpg,https://www.lookfantastic.com/magicstripes-chin-cheek-lifting-mask-1-mask/11422054.html
BeautyPro THERMOTHERAPY Warming Gold Foil Mask 30g,Quench thirsty skin with the ,BeautyPro,4.8,https://static.thcdn.com/images/large/original//productimg/1600/1600/11855347-2324806270707019.jpg,https://www.lookfantastic.com/beautypro-thermotherapy-warming-gold-foil-mask-30g/11855347.html
L'Oréal Paris Pure Clay Blemish Rescue Face Mask 50ml,"Achieve a clean, clarified complexion with ",L'Oréal Paris,4.45,https://static.thcdn.com/images/large/original/productimg/1600/1600/11740136-1184593914493969.jpg,https://www.lookfantastic.com/l-oreal-paris-pure-clay-blemish-rescue-face-mask-50ml/11740136.html
AHAVA Purifying Mud Mask 100ml,The ,AHAVA,4.33,https://static.thcdn.com/images/large/original//productimg/1600/1600/11286067-1504857486926262.jpg,https://www.lookfantastic.com/ahava-purifying-mud-mask-100ml/11286067.html
FOREO Make My Day UFO/UFO Mini Anti-Pollution and so Hydrating Face Mask (7 Pack),Treat your skin to the ,FOREO,4.75,https://static.thcdn.com/images/large/original//productimg/1600/1600/11740180-1734873401159303.jpg,https://www.lookfantastic.com/foreo-make-my-day-ufo-ufo-mini-anti-pollution-and-so-hydrating-face-mask-7-pack/11740180.html
Garnier Pure Active Anti Blackhead Charcoal Mask Peel Off,Clarify your complexion with ,Garnier,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11850178-4444615995735723.jpg,https://www.lookfantastic.com/garnier-pure-active-anti-blackhead-charcoal-mask-peel-off/11850178.html
Sukin Oil Balancing + Charcoal Anti-Pollution Facial Masque 100ml,Gently refresh your complexion with the ,Sukin,4.85,https://static.thcdn.com/images/large/original//productimg/1600/1600/11254342-1484853619836466.jpg,https://www.lookfantastic.com/sukin-oil-balancing-charcoal-anti-pollution-facial-masque-100ml/11254342.html
Chantecaille Jasmine & Lily Healing Mask 50ml,Treat your skin to ,Chantecaille,4.78,https://static.thcdn.com/images/large/original//productimg/1600/1600/11219064-1674786221980400.jpg,https://www.lookfantastic.com/chantecaille-jasmine-lily-healing-mask-50ml/11219064.html
